,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
1,8.00E+06,Columbia Pictures Corporation,USA,Rob Reiner,Adventure,52287414,Stand by Me,R,22/08/1986,89,8.1,Wil Wheaton,299174,Stephen King,1986
2,6.00E+06,Paramount Pictures,USA,John Hughes,Comedy,70136369,Ferris Bueller's Day Off,PG-13,11/06/1986,103,7.8,Matthew Broderick,264740,John Hughes,1986
3,1.50E+07,Paramount Pictures,USA,Tony Scott,Action,179800601,Top Gun,PG,16/05/1986,110,6.9,Tom Cruise,236909,Jim Cash,1986
4,18500000,Twentieth Century Fox Film Corporation,USA,James Cameron,Action,85160248,Aliens,R,18/07/1986,137,8.4,Sigourney Weaver,540152,James Cameron,1986
5,9.00E+06,Walt Disney Pictures,USA,Randal Kleiser,Adventure,18564613,Flight of the Navigator,PG,01/08/1986,90,6.9,Joey Cramer,36636,Mark H. Baker,1986
6,6.00E+06,Hemdale,UK,Oliver Stone,Drama,138530565,Platoon,R,06/02/1987,120,8.1,Charlie Sheen,317585,Oliver Stone,1986
7,2.50E+07,Henson Associates (HA),UK,Jim Henson,Adventure,12729917,Labyrinth,PG,27/06/1986,101,7.4,David Bowie,102879,Dennis Lee,1986
8,6.00E+06,De Laurentiis Entertainment Group (DEG),USA,David Lynch,Drama,8551228,Blue Velvet,R,23/10/1986,120,7.8,Isabella Rossellini,146768,David Lynch,1986
9,9.00E+06,Paramount Pictures,USA,Howard Deutch,Comedy,40471663,Pretty in Pink,PG-13,28/02/1986,96,6.8,Molly Ringwald,60565,John Hughes,1986
10,1.50E+07,SLM Production Group,USA,David Cronenberg,Drama,40456565,The Fly,R,15/08/1986,96,7.5,Jeff Goldblum,129698,George Langelaan,1986
11,8800000,Rimfire Films,Australia,Peter Faiman,Adventure,174635000,Crocodile Dundee,PG-13,26/09/1986,97,6.5,Paul Hogan,79465,Ken Shadie,1986
12,1.60E+07,Thorn EMI Screen Entertainment,UK,Russell Mulcahy,Action,5900000,Highlander,R,07/03/1986,116,7.2,Christopher Lambert,104860,Gregory Widen,1986
13,6.00E+06,Twentieth Century Fox Film Corporation,USA,David Seltzer,Comedy,8200000,Lucas,PG-13,28/03/1986,100,6.8,Corey Haim,12228,David Seltzer,1986
14,2.50E+07,Twentieth Century Fox Film Corporation,USA,John Carpenter,Action,11100000,Big Trouble in Little China,PG-13,02/07/1986,99,7.3,Kurt Russell,101678,Gary Goldman,1986
15,1.50E+07,De Laurentiis Entertainment Group (DEG),USA,Michael Mann,Crime,8620929,Manhunter,R,15/08/1986,120,7.2,William Petersen,54000,Thomas Harris,1986
16,1.70E+07,Producers Sales Organization (PSO),USA,Adrian Lyne,Drama,6734844,9½ Weeks,R,21/02/1986,117,5.9,Mickey Rourke,31798,Elizabeth McNeill,1986
17,1.00E+07,De Laurentiis Entertainment Group (DEG),USA,Stephen King,Action,7433663,Maximum Overdrive,R,25/07/1986,98,5.4,Emilio Estevez,24881,Stephen King,1986
18,2.50E+07,"Geffen Company, The",USA,Frank Oz,Comedy,38747385,Little Shop of Horrors,PG-13,19/12/1986,94,6.9,Rick Moranis,53327,Howard Ashman,1986
19,2700000,New Century Entertainment Corporation,USA,Mike Marvin,Action,3500000,The Wraith,PG-13,21/11/1986,93,5.9,Charlie Sheen,11635,Mike Marvin,1986
20,3.50E+07,Universal Pictures,USA,Willard Huyck,Action,16295774,Howard the Duck,PG,01/08/1986,110,4.6,Lea Thompson,36020,Steve Gerber,1986
21,2.00E+06,New Line Cinema,USA,Stephen Herek,Action,13167232,Critters,PG-13,11/04/1986,82,6,Dee Wallace,25517,Domonic Muir,1986
22,1.10E+07,Orion Pictures,USA,Alan Metter,Comedy,91258000,Back to School,PG-13,13/06/1986,96,6.6,Rodney Dangerfield,23120,Rodney Dangerfield,1986
23,4700000,Cannon Films,USA,Tobe Hooper,Comedy,8025872,The Texas Chainsaw Massacre 2,UNRATED,22/08/1986,89,5.6,Dennis Hopper,21253,L.M. Kit Carson,1986
24,1.50E+07,Jay Weston Productions,USA,Clint Eastwood,Action,42724017,Heartbreak Ridge,R,05/12/1986,130,6.8,Clint Eastwood,32954,James Carabatsos,1986
25,2.50E+07,Paramount Pictures,USA,Leonard Nimoy,Adventure,109713132,Star Trek IV: The Voyage Home,PG,26/11/1986,119,7.3,William Shatner,66366,Gene Roddenberry,1986
29,2.50E+07,Paramount Pictures,USA,Michael Ritchie,Action,79817937,The Golden Child,PG-13,12/12/1986,94,5.9,Eddie Murphy,42997,Dennis Feldman,1986
30,1900000,Hemdale,USA,Tim Hunter,Crime,4600000,River's Edge,R,08/05/1987,99,7.1,Crispin Glover,12862,Neal Jimenez,1986
31,2.50E+07,L.A. Films,USA,John Landis,Comedy,39246734,¡Three Amigos!,PG,12/12/1986,104,6.4,Steve Martin,57406,Steve Martin,1986
32,2.50E+07,Warner Bros.,USA,George P. Cosmatos,Action,49042224,Cobra,R,23/05/1986,87,5.7,Sylvester Stallone,54851,Paula Gosling,1986
35,13800000,Touchstone Pictures,USA,Martin Scorsese,Drama,52293982,The Color of Money,R,17/10/1986,119,7,Paul Newman,62495,Walter Tevis,1986
38,6.00E+06,HBO Films,USA,Robert Harmon,Thriller,5844868,The Hitcher,R,21/02/1986,97,7.3,Rutger Hauer,36191,Eric Red,1986
39,1.00E+07,Amblin Entertainment,USA,Richard Benjamin,Comedy,37499651,The Money Pit,PG,26/03/1986,91,6.3,Tom Hanks,41278,David Giler,1986
40,3.00E+06,Paramount Pictures,USA,Tom McLoughlin,Horror,19472057,Jason Lives: Friday the 13th Part VI,R,01/08/1986,86,5.9,Thom Mathews,28310,Tom McLoughlin,1986
